"invoice_id","line_item_id","period_start_date","period_end_date","total_amount","canonical_line_item_id"
"82829568-b60b-4db9-82c9-ee3dbbc48033","3ce3766e-36b7-422e-932a-3bbbb47f43ca",2020-12-07,2020-12-07,0.0,af802873-db3c-481c-8b81-66ba9d2acfb6
"82829568-b60b-4db9-82c9-ee3dbbc48033","0dc8a94b-e935-4f53-8dc2-583eb9753450",2020-12-07,2020-12-07,50.0,"1b98dc95-bc96-49df-86f7-4c5d51cf13c6"
"0454ec9a-e05d-4dba-9e03-bcff3649dc98","57308a21-56ee-4c31-8036-f51ec56428e2",2019-09-01,2019-09-30,3936.0,dbd2afb9-5d50-4416-ba6c-cb260db3a184
"0454ec9a-e05d-4dba-9e03-bcff3649dc98","4f446f62-6b62-4be8-9126-68c188ec05c2",2019-09-01,2019-09-30,61.5,f1254885-15b2-4578-a0ed-b88fc83f922f
"0454ec9a-e05d-4dba-9e03-bcff3649dc98","34cac0b4-bebe-4094-805a-7b224232b960",2019-09-01,2019-09-30,1808.1,"0c41e487-e7a6-461e-81a1-989ff673d52e"
"0454ec9a-e05d-4dba-9e03-bcff3649dc98","3ebe6d81-b7d6-4c32-9e50-c7d453d4b8bf",2019-09-01,2019-09-30,8820.33,"614dff68-d604-47fe-9d97-681e90e06e07"
"0454ec9a-e05d-4dba-9e03-bcff3649dc98",c30cf455-c48a-4827-915a-d3f034d8baba,2019-09-01,2019-09-30,615.0,"00b17db4-9bbc-4317-b245-c3966e6702fe"
"0454ec9a-e05d-4dba-9e03-bcff3649dc98",feb8e928-0f37-47d4-889e-66e9fb0b7178,2019-09-01,2019-09-30,984.0,"1ec7bd1e-02e7-4b60-9750-27097c32d250"
"0454ec9a-e05d-4dba-9e03-bcff3649dc98",c702a1b5-86a3-4fa1-84fc-3086cc09c52f,2019-08-01,2019-08-31,307.5,"08707613-0e50-4a89-98a2-a0ce9d8d2b08"
"0454ec9a-e05d-4dba-9e03-bcff3649dc98","3f9698d4-1494-498e-acd3-d944171816e1",2020-09-30,2020-09-30,615.0,"92b917d6-b3e2-47e8-991c-c37b0c05b377"
"0454ec9a-e05d-4dba-9e03-bcff3649dc98","3312d93c-5091-4414-9d94-ab88d637150e",2019-08-01,2019-08-31,307.5,c2627e2c-4bba-4d50-bc81-f678d8a65e92
"984e938d-733d-401b-826a-17087e908292","99fd31dd-cbef-4fea-927e-1d233690f857",2019-10-16,2019-10-16,194.3,c09d7a2e-c500-4ba7-90cc-dbf1b2e525f0
"0bf92123-9ecd-4926-bc31-6f77a32e72e2","432c2916-821f-4c45-a94c-c99d48f138d0",2020-11-01,2020-11-30,761.04,"25793457-e70e-4017-9583-1ebdafa655a8"
"0bf92123-9ecd-4926-bc31-6f77a32e72e2","954ae968-fdce-4dcc-b4ce-430125ba2608",2020-11-01,2020-11-30,19.68,"55c0aacb-8b0b-4afa-91fd-85d9fd12f44b"
dcce6f4e-dced-4247-8e38-f5cf500d513d,c7d6fdd4-a2d9-4c92-aabc-66cbd5da2b19,2019-10-31,2019-10-31,250.0,"282549a6-92ec-4813-a81f-3e6543409158"
"0cf36809-1ca2-48ab-895a-68d76a499cab","40d4d87b-0477-4325-9aa5-7e998ba1eba5",2019-10-01,2019-10-31,544.38,"33624a74-24d7-4555-9e6b-170b2eaf495e"
"63e60da2-1093-45da-b760-6e0aa2469388",d8c22fcf-021b-4f3b-ae25-5e4ccc58f532,2019-10-31,2019-11-30,1814.59,c47cfa2b-3b1d-4138-8c47-be0bff6f31bb
"412d0ad7-9000-4920-93ce-4308a04e0d40",da7d43bc-ffa3-487e-9683-d764ed3c124d,2020-11-15,2021-11-14,4774.0,daa4e216-a308-4e62-ab94-d1930a6d77fc
"5050005a-bedd-436d-ad76-80f825f6d774",a6d6e848-e277-444e-a863-c24559c4d182,2020-10-01,2020-10-31,0.0,"4ba986f7-7fb0-462d-adc8-79370bc3d1aa"
"5050005a-bedd-436d-ad76-80f825f6d774","0da9ebb4-0bd9-435b-a8c6-c5be166ed7fc",2020-10-01,2020-10-31,600.0,ac0199f3-8191-4685-9d4a-a1706a7f8ca0
"5050005a-bedd-436d-ad76-80f825f6d774",c603cee9-2464-40f3-a306-992f5c2cc1f2,2020-10-01,2020-10-31,0.0,c346a824-dab9-4db8-8801-b9656c49c40c
"5050005a-bedd-436d-ad76-80f825f6d774",b0e0ae90-3574-42de-9257-342b32879070,2020-10-01,2020-10-31,62.0,"0aa7cf7e-c255-4705-ab46-db2628f5525f"
"5050005a-bedd-436d-ad76-80f825f6d774",bfd5b495-ae43-4114-a211-a46fe1a493d1,2020-10-01,2020-10-31,1050.0,a7f2e2ea-a995-4546-ae5e-471cd9a858fd
"6518607b-7786-4877-8b6d-6b9547845a6a",a4137dc3-e83e-4725-9604-c30cd3613690,2020-10-27,2020-10-27,64.99,"0de4a2e8-c9cb-4cb6-805f-e74e579a2ebc"
"3f7ee123-da31-4da6-9e4a-955036917a82","96142f16-17a0-46fd-bc7a-9fca80009515",2020-11-05,2021-07-22,-17053.87,"33de4e1b-d4c3-4784-b91e-05a5f89ee041"
"3f7ee123-da31-4da6-9e4a-955036917a82","6b2bc8ae-1faf-4552-a30f-51024da30636",2020-11-05,2021-07-22,18028.38,"33de4e1b-d4c3-4784-b91e-05a5f89ee041"
f49d7bf2-380a-4821-a6da-94bbc1785c13,d404d768-fb81-4d68-a052-296a5e2f6f7f,2020-06-05,2020-06-05,1687.0,e7cabc32-3e50-4798-a3a3-59916e48ae1a
"7c98ad2a-553f-4add-b307-8f1751a827d5","8220665a-66e4-4313-a5a3-e3818247c380",2020-05-01,2020-05-31,260.21,"4b7904c3-a8cd-4dad-b354-b8de077fafc4"
"7c98ad2a-553f-4add-b307-8f1751a827d5",e3ce9d50-a5d7-4db9-bc14-7062f2401452,2020-05-01,2020-05-31,19.76,"757c3d7a-f894-4e68-b17e-1256ee3199d2"
"33061b8b-f146-4478-9663-e7d1f8cf3ad9",f0cb9838-4c72-454b-8472-864694a40d6d,2020-10-02,2020-10-02,23.5,ad69af3b-4842-43da-998d-42ff84a57a4e
"42cf1d6a-9527-4926-92c1-70e87c42f2cb","0acf5bcb-ea7d-470d-94b1-e2315826c6b2",2020-10-16,2020-10-16,23.5,ad69af3b-4842-43da-998d-42ff84a57a4e
"79b226c9-5b74-4cb1-9b78-0f9584137dc0",adb381c7-047b-4fc6-9fdf-910fb3d10dc3,2020-10-23,2020-11-07,30962.83,"4e1f58bc-2b57-4bd4-b357-34036b492613"
"7882705c-0195-4fd8-a25d-8f77d98e271e",d26c9449-d675-4b25-989d-ff18b53ef1fe,2020-04-01,2020-04-30,1900.0,f787c7e6-b995-4cfd-973d-f9ce781d32bc
"7882705c-0195-4fd8-a25d-8f77d98e271e","17e069fe-5c83-460d-93d6-b90865828a49",2020-04-01,2020-04-30,168.63,b86e174a-f296-49bb-9e9f-578ae0280230
"934bc297-fc72-4948-8d12-09e6756e9a38",ab82cfbf-06be-443c-bb9c-98b7d5512e88,2020-10-26,2020-10-27,8262.0,f899f546-6259-4c70-a5d2-d599dd82078e
"934bc297-fc72-4948-8d12-09e6756e9a38","4ec18eaa-1622-432f-923e-9f782bbc6398",2020-10-26,2020-10-27,630.0,"9d5c1585-9ef9-4abe-af18-22cdcde2cde3"
